"Product ID [Non Editable]","Variant ID [Non Editable]","Product Type [Non Editable]","Product Page","Product URL","Title","Description","SKU","GTIN","MPN","Option Name 1","Option Value 1","Option Name 2","Option Value 2","Option Name 3","Option Value 3","Option Name 4","Option Value 4","Option Name 5","Option Value 5","Option Name 6","Option Value 6","Price","Sale Price","On Sale","Stock","Categories","Tags","Weight","Length","Width","Height","Visible","Hosted Image URLs"
"","7f61847b-7066-4e2d-ba68-f57033ee5e3d","","","","","","SQ7969746","","","Size","10","","","","","","","","","","","320.00","0.00","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
"","233199b8-763c-4616-bb9a-a4897ecf90f8","","","","","","SQ4946390","","","Size","11","","","","","","","","","","","330.00","0.00","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
"","5b689c94-e02c-48b4-93a1-2fbb5e1b7891","","","","","","SQ4530720","","","Size","12","","","","","","","","","","","340.00","0.00","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
"686343ad02ad0d132675feb9","7892ee7c-9ab7-47c8-ab2f-ebdf4e201c26","PHYSICAL","shop","product-4-9e76d-pr6ls-5tznn-wdzn6","drippy honey | MADE TO ORDER*","<p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">melted claws holding a cast in place, cubic zirconia in 925 sterling silver.</p><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">*made to order in different colours and sizes, gold or gold plated available upon request, feel free to submit as a custom order request — prices vary.</p>","SQ9478589","","","","","","","","","","","","","","","275.00","191.25","No","Unlimited","","","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/686343550b484e68bb6fa9e8/1757099798501-87X102CKMUB9GWL8J6UH/BF47E07A-41A5-404D-B919-90108E5B3B68.jpeg https://images.squarespace-cdn.com/content/v1/686343550b484e68bb6fa9e8/1757099797766-21XFYWI8TVJPGAHXWOXT/81BCD1FD-CD6B-4DF0-8E1E-B817D1B592FC.jpeg https://images.squarespace-cdn.com/content/v1/686343550b484e68bb6fa9e8/1757099798293-H3J8LKHSK95R085G3W84/A32C8697-A9C0-432C-8676-7734EB0DC0F5.jpeg https://images.squarespace-cdn.com/content/v1/686343550b484e68bb6fa9e8/1757099796655-DRWZCDXZ7A9LVMCUW9Y3/036EE5C1-0DA8-4580-BD53-400BF14C9244.jpeg https://images.squarespace-cdn.com/content/v1/686343550b484e68bb6fa9e8/1757099796595-6NWOF9P7SFCA38KT1LIS/0DB512FF-B6F3-40E4-830B-DC5AE3917B8F.jpeg"
"686343ad02ad0d132675fedb","4b7e2a9c-8530-4117-b3a5-cee36894689b","PHYSICAL","shop","product-5-f98ry-4ll53-pbaad-6mblk","toad ring | MADE TO ORDER*","<p>bumpy texture with cast in place cubic zirconia, choose ring size and stone colour.</p>","SQ0754767","","","Size","6","","","","","","","","","","","90.00","0.00","No","Unlimited","","","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/686343550b484e68bb6fa9e8/1757100200095-315NW3DZU4B93AZI6YPW/AF8FEAA1-2903-4C08-AF5E-60FADB245A7A.jpeg https://images.squarespace-cdn.com/content/v1/686343550b484e68bb6fa9e8/1757100199723-AX11O2YXCE9N3W8BU6XJ/BC845D7B-B0C3-4EA9-8F7A-431D07ED5702.jpeg https://images.squarespace-cdn.com/content/v1/686343550b484e68bb6fa9e8/1757100225230-QA1JEZ0SJBMTENU1PO2M/4EF40D0B-A937-4657-BEB4-F515926A6C87.jpeg https://images.squarespace-cdn.com/content/v1/686343550b484e68bb6fa9e8/1757100225751-MACT5HSHZQ05X5BJK2RV/B83111D5-A8FB-4816-BA65-2256FCF023FB.jpeg https://images.squarespace-cdn.com/content/v1/686343550b484e68bb6fa9e8/1757100226314-F7RFSFWEWB5B2QVR5BLS/29CD6CAC-976B-40BF-9BDD-42FE143720A8.jpeg https://images.squarespace-cdn.com/content/v1/686343550b484e68bb6fa9e8/1757100199334-JC3976MGA5YUPJHA5G3S/9D3A18A7-6A59-402C-BA67-6A4B4908048D.jpeg"
"","b4887ae5-5349-41f4-8f89-b6e92d731449","","","","","","SQ3077146","","","Size","6.5","","","","","","","","","","","95.00","0.00","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
"","d4b030dd-f338-4d42-8d02-38f7c64901a1","","","","","","SQ8805742","","","Size","7","","","","","","","","","","","100.00","0.00","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
"","5d051400-ff33-4f87-a435-4779b4e2a68b","","","","","","SQ3144429","","","Size","7.5","","","","","","","","","","","105.00","0.00","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
"","0bbd8d88-be87-44eb-8429-0fff2ba971b9","","","","","","SQ3197245","","","Size","8","","","","","","","","","","","110.00","0.00","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
"","900ac45f-a953-45ad-876c-cfaf365aff7e","","","","","","SQ0855706","","","Size","8.5","","","","","","","","","","","115.00","0.00","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
"","68b0b551-0ec7-4855-8b01-4c3d0ce8daa2","","","","","","SQ6882491","","","Size","9","","","","","","","","","","","120.00","0.00","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
"","59fc93a5-ad74-4013-be2c-ee9468289615","","","","","","SQ1379072","","","Size","9.5","","","","","","","","","","","125.00","0.00","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
"","1601a47f-fde5-4bf5-9680-3c36451cb595","","","","","","SQ3836008","","","Size","10","","","","","","","","","","","130.00","0.00","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
"","13ac6b6b-332d-42c6-9cc4-3c5fdbeb47ca","","","","","","SQ4234561","","","Size","10.5","","","","","","","","","","","135.00","0.00","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
"","eae3b2c4-f150-4b95-a113-d64422057385","","","","","","SQ7775809","","","Size","11","","","","","","","","","","","140.00","0.00","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
"686343ad02ad0d132675febd","6e15a759-2cd7-402b-bb86-a463b15dcbed","PHYSICAL","shop","product-6-yrdld-pcpw6-t3kp7-fdcwe","tri boulder opal sz 9","<p>(imperfect) bezel set Boulder opal from Australia, really pretty green and purple glints, can be worn 2 ways and it’s great for stacking!</p>","SQ5266401","","","","","","","","","","","","","","","180.00","180.00","No","Unlimited","","opal, boulder opal","1.0","9.0","5.0","2.0","Yes","https://images.squarespace-cdn.com/content/v1/686343550b484e68bb6fa9e8/1755056947540-K92FV69R175LECJBIH9K/A43A3E94-3523-43F6-9B16-85A8658E440F.jpeg https://images.squarespace-cdn.com/content/v1/686343550b484e68bb6fa9e8/1755057027672-HQV8QF0IWE0F11D0BWLA/9FCA7523-B1C8-4078-BC9C-972F85C3843F.jpeg https://images.squarespace-cdn.com/content/v1/686343550b484e68bb6fa9e8/1755056912151-4FF15WK2L91GGLLR6DGW/002669A4-9353-4630-BD41-6B7A19A8C241.jpeg https://images.squarespace-cdn.com/content/v1/686343550b484e68bb6fa9e8/ca87f7ad-bb9b-486f-8a6e-21b460f241ca/FA5249C7-F847-4BA0-ACAC-72450902987B.jpg"
"68951f5c33167255891e33ae","cf6760a5-0d3d-4aae-af70-c96fcb9616dc","PHYSICAL","shop","zg3idrj6agsfr28g6adocbadcgvkho","mirrored teardrop ring sz 7","<p>textured silver ring with an Australian doublet Opal bordered by two clear *cubic zirconia marquise stones (cast in place)</p><p>*CUBIC ZIRCONIAS CRACKED, this sometimes happens when stones are cast in place. They are secure, just imperfect!</p>","SQ0691670","","","","","","","","","","","","","","","175.00","127.50","No","Unlimited","","opal, cubic zirconia, ring, statement ring, fairy ring","2.0","9.0","5.0","2.0","No","https://images.squarespace-cdn.com/content/v1/686343550b484e68bb6fa9e8/1754603626880-CH75F0UWPMG0YG5V41NO/9D152128-2FAC-49CF-A941-CD7353E72961.jpeg https://images.squarespace-cdn.com/content/v1/686343550b484e68bb6fa9e8/1754603622071-ALH09T31AXN8A4DSV760/68D1813B-7C4B-4D4D-8157-ABA62C86A4BA.jpeg https://images.squarespace-cdn.com/content/v1/686343550b484e68bb6fa9e8/1754603617795-92B5TF1416O5GQ0NK7R7/2887A2F0-A81E-4758-AC5D-C24F4383730D.jpeg https://images.squarespace-cdn.com/content/v1/686343550b484e68bb6fa9e8/1754603618485-H5ZCFFWVNX7XNTITQZL3/98407A4F-506A-4617-B2BF-5CC651CC2E8E.jpeg https://images.squarespace-cdn.com/content/v1/686343550b484e68bb6fa9e8/1754603624878-AF4URWBFC02DD57VVKQC/7ADEB88D-9AA3-43F8-8420-058C45CE3706.jpeg"
